iter	Passed	Remaining
430	1749	2309
431	1756	2309
432	1760	2304
433	1763	2299
434	1771	2300
435	1774	2295
436	1778	2290
437	1781	2285
438	1786	2283
439	1789	2277
440	1793	2273
441	1796	2267
442	1803	2267
443	1806	2261
444	1809	2256
445	1812	2250
446	1819	2250
447	1823	2246
448	1825	2240
449	1828	2235
450	1833	2231
451	1836	2227
452	1840	2222
453	1843	2217
454	1847	2213
455	1852	2209
456	1855	2204
457	1858	2199
458	1860	2193
459	1864	2189
460	1868	2184
461	1871	2179
462	1874	2173
463	1876	2168
464	1881	2164
465	1885	2160
466	1888	2155
467	1891	2149
468	1895	2146
469	1900	2142
470	1904	2138
471	1906	2133
472	1909	2127
473	1915	2125
474	1917	2119
475	1920	2114
476	1924	2110
477	1928	2106
478	1931	2101
479	1934	2095
480	1937	2090
481	1940	2085
482	1949	2086
483	1952	2081
484	1955	2076
485	1959	2072
486	1963	2068
487	1967	2064
488	1970	2059
489	1973	2054
490	1977	2050
491	1983	2048
492	1987	2043
493	1993	2041
494	1996	2037
495	1999	2032
496	2002	2027
497	2006	2022
498	2010	2018
499	2014	2014
500	2017	2009
501	2020	2004
502	2025	2001
503	2028	1996
504	2032	1992
505	2035	1987
506	2042	1985
507	2045	1981
508	2048	1976
509	2051	1971
510	2057	1968
511	2060	1964
512	2063	1959
513	2066	1954
514	2069	1948
515	2075	1946
516	2078	1941
517	2081	1936
518	2084	1931
519	2091	1930
520	2094	1925
521	2097	1921
522	2100	1916
523	2107	1914
524	2111	1910
525	2114	1905
526	2117	1900
527	2123	1898
528	2126	1893
529	2130	1889
530	2133	1884
531	2138	1881
532	2143	1877
533	2146	1873
534	2149	1868
535	2155	1865
536	2158	1861
537	2162	1856
538	2165	1851
539	2171	1850
540	2174	1845
541	2178	1840
542	2181	1835
543	2185	1832
544	2190	1828
545	2195	1825
546	2198	1820
547	2205	1819
548	2208	1814
549	2211	1809
550	2214	1804
551	2219	1801
552	2223	1797
553	2227	1792
554	2229	1787
555	2232	1782
556	2238	1780
557	2242	1775
558	2244	1771
559	2247	1766
560	2254	1764
561	2258	1759
562	2261	1755
563	2264	1750
564	2269	1747
565	2273	1743
566	2277	1739
567	2280	1734
568	2286	1731
569	2288	1726
570	2291	1721
571	2294	1716
572	2298	1713
573	2303	1709
574	2306	1704
575	2309	1699
576	2312	1695
577	2317	1691
578	2320	1687
579	2323	1682
580	2326	1677
581	2330	1673
582	2335	1670
583	2339	1666
584	2342	1661
585	2348	1659
586	2351	1654
587	2355	1650
588	2359	1646
589	2362	1641
590	2368	1638
591	2371	1634
592	2375	1630
593	2381	1627
594	2384	1623
595	2388	1619
596	2391	1614
597	2397	1611
598	2401	1607
599	2404	1603
600	2407	1598
601	2410	1593
602	2414	1589
603	2417	1584
604	2420	1580
605	2423	1575
606	2428	1572
607	2432	1568
608	2435	1563
609	2438	1559
610	2445	1556
611	2448	1552
612	2451	1547
613	2454	1543
614	2458	1539
615	2464	1536
616	2467	1531
617	2470	1527
618	2475	1523
619	2481	1520
620	2484	1516
621	2487	1511
622	2490	1507
623	2495	1503
624	2499	1499
625	2502	1494
626	2505	1490
627	2510	1487
628	2513	1482
629	2517	1478
630	2520	1473
631	2527	1471
632	2531	1467
633	2534	1462
634	2536	1458
635	2541	1454
636	2544	1450
637	2548	1446
638	2551	1441
639	2555	1437
640	2559	1433
641	2563	1429
642	2566	1424
643	2569	1420
644	2576	1417
645	2579	1413
646	2582	1409
647	2586	1404
648	2592	1402
649	2595	1397
650	2599	1393
651	2602	1388
652	2608	1385
653	2611	1381
654	2615	1377
655	2618	1373
656	2624	1370
657	2633	1368
658	2641	1366
659	2645	1362
660	2647	1358
661	2650	1353
662	2660	1352
663	2663	1347
664	2666	1343
665	2673	1340
666	2676	1336
667	2679	1331
668	2682	1327
669	2686	1323
670	2690	1319
671	2694	1315
672	2697	1310
673	2703	1307
674	2708	1304
675	2711	1299
676	2714	1295
677	2719	1291
678	2723	1287
679	2726	1283
680	2729	1278
681	2732	1274
682	2739	1271
683	2742	1266
684	2745	1262
685	2747	1257
686	2756	1255
687	2760	1251
688	2762	1247
689	2766	1242
690	2771	1239
691	2774	1234
692	2777	1230
693	2780	1226
694	2785	1222
695	2789	1218
696	2792	1214
697	2795	1209
698	2800	1206
699	2804	1201
700	2807	1197
701	2810	1193
702	2813	1188
703	2818	1184
704	2820	1180
705	2824	1176
706	2827	1171
707	2830	1167
708	2833	1163
709	2836	1158
710	2839	1154
711	2842	1149
712	2845	1145
713	2850	1141
714	2853	1137
715	2856	1132
716	2859	1128
717	2863	1124
718	2866	1120
719	2870	1116
720	2873	1111
721	2876	1107
722	2881	1104
723	2884	1099
724	2887	1095
725	2890	1090
726	2893	1086
727	2899	1083
728	2902	1079
729	2905	1074
730	2908	1070
731	2912	1066
732	2916	1062
733	2919	1058
734	2922	1053
735	2926	1049
736	2932	1046
737	2935	1042
738	2938	1037
739	2941	1033
740	2947	1030
741	2950	1025
742	2954	1021
743	2957	1017
744	2962	1014
745	2965	1009
746	2968	1005
747	2971	1001
748	2974	996
749	2980	993
750	2983	989
751	2986	984
752	2989	980
753	2994	977
754	2997	972
755	3000	968
756	3003	964
757	3006	959
758	3011	956
759	3014	951
760	3016	947
761	3020	943
762	3023	939
763	3027	935
764	3030	930
765	3036	927
766	3041	924
767	3046	920
768	3052	916
769	3057	913
770	3063	909
771	3066	905
772	3070	901
773	3078	898
774	3082	895
775	3085	890
776	3089	886
777	3093	882
778	3097	878
779	3101	874
780	3111	872
781	3114	868
782	3118	864
783	3124	860
784	3127	856
785	3130	852
786	3134	848
787	3137	844
788	3144	840
789	3147	836
790	3154	833
791	3163	830
792	3166	826
793	3176	824
794	3180	820
795	3188	817
796	3191	812
797	3196	809
798	3200	805
799	3206	801
800	3209	797
801	3217	794
802	3233	793
803	3238	789
804	3242	785
805	3245	781
806	3248	776
807	3253	773
808	3256	768
809	3259	764
810	3262	760
811	3265	756
812	3271	752
813	3274	748
814	3277	744
815	3280	739
816	3287	736
817	3291	732
818	3294	728
819	3297	723
820	3302	720
821	3306	715
822	3309	711
